ILCE_ADI;MAHALLE_ADI
BUCA;DUMLUPINAR
BUCA;EFELER
BUCA;FIRAT
BUCA;GAZİLER
BUCA;GÖKSU
BUCA;GÜVEN
BUCA;HÜRRİYET
BUCA;İNKILAP
BUCA;İNÖNÜ
BUCA;İZKENT
BUCA;KARACAAĞAÇ
BUCA;KARANFİL
BUCA;KAYNAKLAR MERKEZ
BUCA;KIRKLAR
BUCA;KOZAĞAÇ
BUCA;KURUÇEŞME
BUCA;LALELİ
BUCA;MENDERES
BUCA;MURATHAN
BUCA;MUSTAFA KEMAL
BUCA;SEYHAN
BUCA;ŞİRİNKAPI
BUCA;UFUK
BUCA;VALİ RAHMİ BEY
BUCA;YAYLACIK
BUCA;YENİGÜN
BUCA;YEŞİLBAĞLAR
BUCA;YILDIZ
BUCA;YILDIZLAR
BUCA;YİĞİTLER
BUCA;ZAFER
ÇEŞME;16 EYLÜL
ÇEŞME;ALAÇATI
ÇEŞME;ALTINKUM
ÇEŞME;ALTINYUNUS
ÇEŞME;ARDIÇ
ÇEŞME;BOYALIK
ÇEŞME;CELAL BAYAR
ÇEŞME;CUMHURİYET
ÇEŞME;ÇAKABEY
ÇEŞME;ÇİFTLİK
ÇEŞME;DALYAN
ÇEŞME;FAHRETTİNPAŞA
ÇEŞME;GERMİYAN
ÇEŞME;ILDIR
ÇEŞME;ILICA
ÇEŞME;İSMET İNÖNÜ
ÇEŞME;KARAKÖY
ÇEŞME;MUSALLA
ÇEŞME;OVACIK
ÇEŞME;REİSDERE
ÇEŞME;SAKARYA
ÇEŞME;ŞEHİT MEHMET
ÇEŞME;ŞİFNE
ÇEŞME;ÜNİVERSİTE
ÇEŞME;YALI
ÇİĞLİ;AHMET EFENDİ
ÇİĞLİ;AHMET TANER KIŞLALI
ÇİĞLİ;ATAŞEHİR
ÇİĞLİ;ATATÜRK
ÇİĞLİ;AYDINLIKEVLER
ÇİĞLİ;BALATÇIK
ÇİĞLİ;CUMHURİYET
ÇİĞLİ;ÇAĞDAŞ
ÇİĞLİ;EGEKENT
ÇİĞLİ;ESENTEPE
ÇİĞLİ;EVKA-2
ÇİĞLİ;EVKA-5
ÇİĞLİ;EVKA-6
ÇİĞLİ;GÜZELTEPE
ÇİĞLİ;HARMANDALI GAZİ MUSTAFA KEMAL ATATÜRK
ÇİĞLİ;İNÖNÜ
ÇİĞLİ;İZKENT
ÇİĞLİ;KAKLIÇ
ÇİĞLİ;KÖYİÇİ
ÇİĞLİ;KÜÇÜK ÇİĞLİ
ÇİĞLİ;MALTEPE
ÇİĞLİ;SASALI MERKEZ
ÇİĞLİ;ŞİRİNTEPE
ÇİĞLİ;UĞUR MUMCU
ÇİĞLİ;YAKAKENT
ÇİĞLİ;YENİMAHALLE
DİKİLİ;BADEMLİ
DİKİLİ;BAHÇELİ
DİKİLİ;CUMHURİYET
DİKİLİ;ÇAĞLAN
DİKİLİ;ÇANDARLI
DİKİLİ;ÇUKURALANI
DİKİLİ;DELİKTAŞ
DİKİLİ;DEMİRTAŞ
DİKİLİ;DENİZKÖY
DİKİLİ;ESENTEPE
DİKİLİ;GAZİPAŞA
DİKİLİ;GÖKÇEAĞIL
DİKİLİ;İSLAMLAR
DİKİLİ;İSMETPAŞA
DİKİLİ;KABAKUM
DİKİLİ;KATIRALANI
DİKİLİ;KIRATLI
DİKİLİ;KIROBA
DİKİLİ;KIZILÇUKUR
DİKİLİ;KOCAOBA
DİKİLİ;MAZILI
DİKİLİ;MERDİVENLİ
DİKİLİ;NEBİLER
DİKİLİ;SALİHLER
DİKİLİ;SALİMBEY
DİKİLİ;SAMANLIKKÖY
DİKİLİ;UZUNBURUN
DİKİLİ;YAHŞİBEY
DİKİLİ;YAYLAYURT
DİKİLİ;YENİCE
FOÇA;ATATÜRK
FOÇA;CUMHURİYET
FOÇA;FATİH
FOÇA;FEVZİ ÇAKMAK
FOÇA;FEVZİPAŞA
FOÇA;HACIVELİ
FOÇA;ILIPINAR
FOÇA;İSMETPAŞA
FOÇA;KAZIM DİRİK
FOÇA;KEMAL ATATÜRK
FOÇA;KOCA MEHMETLER
FOÇA;KOZBEYLİ
FOÇA;MAREŞAL FEVZİ ÇAKMAK
FOÇA;MUSTAFA KEMAL ATATÜRK
FOÇA;YENİBAĞARASI
FOÇA;YENİKÖY
GAZİEMİR;AKTEPE
GAZİEMİR;ATATÜRK
GAZİEMİR;ATIFBEY
GAZİEMİR;BEYAZEVLER
GAZİEMİR;BİNBAŞI REŞATBEY
GAZİEMİR;DOKUZ EYLÜL
GAZİEMİR;EMREZ
GAZİEMİR;FATİH
GAZİEMİR;GAZİ
GAZİEMİR;GAZİKENT
GAZİEMİR;HÜRRİYET
GAZİEMİR;IRMAK
GAZİEMİR;MENDERES
GAZİEMİR;SEVGİ
GAZİEMİR;YEŞİL
GAZİEMİR;ZAFER
GÜZELBAHÇE;ATATÜRK
